Value,MakeModel
0.03571006612291478,LEXUS-RX 450
0.02926073238680227,CHEVROLET-EQUINOX
0.0371058973584399,HONDA-FIT
0.02749374014030141,FORD-ESCAPE
0.13339287752156545,HYUNDAI-SANTA FE
0.03832947336622697,TOYOTA-PRIUS
0.04842533481019032,HYUNDAI-SONATA
0.04214745074346323,TOYOTA-CAMRY
0.055940086597522906,LEXUS-RX 350
0.03382885241499681,MERCEDES-BENZ-E 350
0.04618148558386198,FORD-TRANSIT
0.01596338065988655,OPEL-VECTRA
0.047144161380189974,TOYOTA-CHR
0.053920484677608835,HYUNDAI-ELANTRA
0.030890813278286845,LEXUS-RX 400
0.0545332460645118,MERCEDES-BENZ-E 220
0.07217420199375693,LEXUS-GX 470
0.03523824388279126,TOYOTA-HIGHLANDER
0.07354133521296949,MERCEDES-BENZ-VITO
0.10405105226059813,PORSCHE-CAYENNE
0.05886698217702145,BMW-X5
0.06367911925620112,JEEP-GRAND CHEROKEE
0.1735709730473601,TOYOTA-CHR LIMITED
0.10062276373644816,HYUNDAI-H1
0.03668247574933709,VOLKSWAGEN-JETTA
0.0474385929580774,TOYOTA-TACOMA
0.05254509448528178,TOYOTA-PRIUS C
0.056752055852045784,TOYOTA-AQUA
0.04620323565938308,FORD-ESCAPE HYBRID
0.1007622931561105,HONDA-CIVIC
0.04160668613432685,AUDI-Q7
0.04883361863524989,RENAULT-MEGANE 1.5CDI
0.043979961735978255,MERCEDES-BENZ-E 300
0.06869294800792132,AUDI-Q5
0.02990108414728292,MERCEDES-BENZ-C 180
0.06660400093981808,MERCEDES-BENZ-GLA 250
0.03697257745107911,NISSAN-JUKE
0.08392444533950928,BMW-535
0.0542827845467056,CHEVROLET-CRUZE LT
0.0329742556976471,FORD-FUSION
0.019891920921021714,TOYOTA-VOXY
0.016976168898734604,MERCEDES-BENZ-A 160
0.10083888832947337,HYUNDAI-TUCSON
0.029102238780921694,TOYOTA-VITZ
0.05947266136340751,CHEVROLET-CAPTIVA
0.12760309468667136,FORD-MUSTANG
0.04954694055650656,MERCEDES-BENZ-ML 350
0.01968892021615816,TOYOTA-YARIS
0.045719799953009094,HONDA-CR-V
0.03935380794146276,CHEVROLET-CRUZE
0.07134088544288927,CHEVROLET-ORLANDO
0.26093713288356324,MERCEDES-BENZ-GL 63 AMG
0.009357902863088645,BMW-520 VANOS
0.032068673849561975,SUBARU-FORESTER
0.023903131608095863,DAEWOO-LACETTI
0.1104118417077837,BMW-428 SPORT LINE
0.0788331151612795,NISSAN-PATROL
0.0397999530090961,MERCEDES-BENZ-E 320
0.06743443090658881,HYUNDAI-GENESIS
0.3345785922867788,PORSCHE-911
0.08998298257980063,LEXUS-GX 460
0.08165528815493572,MERCEDES-BENZ-SPRINTER
0.05003621656093714,FORD-FOCUS SE
0.03802386466619676,KIA-PICANTO
0.0661198268049542,BMW-328
0.2047917967307757,FORD-EXPLORER
0.029300506830463532,MITSUBISHI-AIRTREK
0.039885207934749776,MERCEDES-BENZ-E 500 AMG
0.03065015272043769,MITSUBISHI-LANCER
0.07535786929815728,SSANGYONG-KORANDO
0.040588963850568927,RENAULT-CLIO
0.008675863457859229,MAZDA-616
0.05370154063034941,MERCEDES-BENZ-C 220
0.03121599033329977,NISSAN-SERENA
0.008357667908569127,NISSAN-MAXIMA
0.07789447185580504,TOYOTA-RAV 4
0.042753868358339206,MITSUBISHI-PAJERO
0.032600510186956665,CHEVROLET-VOLT
0.019020776692511662,GMC-TERRAIN
0.021367435303594803,MERCEDES-BENZ-208
0.07988621488269057,HONDA-HR-V EX
0.028617796126606924,FIAT-500
0.03007776994596046,SUBARU-LEGACY
0.05988655053200416,HYUNDAI-ELANTRA SPORT LIMITED
0.06323700198033096,TOYOTA-SIENNA
0.026421642667740747,MERCEDES-BENZ-A 170
0.24597516195079383,LEXUS-NX 300
0.10878343906286711,SSANGYONG-REXTON
0.04409760682039405,KIA-CARNIVAL GRAND
0.018306313563588764,INFINITI-QX60
0.04761695700332293,VOLKSWAGEN-PASSAT
0.02620078541939382,MERCEDES-BENZ-E 240 E 240
0.012036988554358407,MAZDA-1000
0.004249320310139966,AUDI-50
0.07847272849327024,MERCEDES-BENZ-C 250
0.03146376665659719,TOYOTA-VITZ FUNKARGO
0.029405598630550797,BMW-325
0.019542040076528044,AUDI-A6
0.05212408955123687,NISSAN-PATHFINDER
0.049998321753432017,MITSUBISHI-DELICA
0.021792233074883365,VOLKSWAGEN-GOLF
0.019423186654583292,MERCEDES-BENZ-VANEO
0.09494478568791327,TOYOTA-CAMRY SE
0.06620011412076662,NISSAN-PATROL Y60
