Unnamed: 0,ID,Price,Levy,Manufacturer,Model,Prod_year,Category,Leather_interior,Fuel_type,Engine_volume,Turbo,Mileage,Cylinders,Gear_box_type,Drive_wheels,Doors,Wheel,Color,Airbags
13467,45314858,52373,0,MERCEDES-BENZ,S 500,2010,Sedan,Yes,Petrol,5.0,,125000,8,Tiptronic,Rear,4-5,Left wheel,Black,12
13468,45772704,15994,1172,MERCEDES-BENZ,E 350,2011,Coupe,Yes,Diesel,3.5,,170429,6,Automatic,Rear,2-3,Left wheel,Silver,12
13469,45656750,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,,138038,6,Automatic,Front,4-5,Left wheel,White,12
13470,45798209,10976,0,KIA,SORENTO,2004,Jeep,Yes,LPG,2.4,,0,4,Manual,Front-Rear,4-5,Left wheel,Black,8
13471,43695282,8154,0,MERCEDES-BENZ,C 180,1997,Universal,No,Petrol,1.8,,183987,4,Automatic,Rear,4-5,Left wheel,White,4
13472,45800176,15053,0,HYUNDAI,ACCENT,2016,Hatchback,No,Petrol,1.6,,57736,4,Tiptronic,Front,4-5,Left wheel,White,8
13473,45730608,18826,707,SSANGYONG,REXTON,2011,Jeep,Yes,Diesel,2.0,,240323,4,Automatic,Front,4-5,Left wheel,Silver,4
13474,45798013,14834,687,HYUNDAI,ELANTRA,2010,Sedan,Yes,Petrol,1.6,,87640,4,Automatic,Front,4-5,Left wheel,Grey,4
13475,45748586,30,0,NISSAN,TIIDA,2005,Hatchback,No,Petrol,1.8,,0,4,Automatic,Front,4-5,Right-hand drive,Beige,4
13476,44716364,11290,0,MERCEDES-BENZ,C 240 W203,2004,Universal,No,Petrol,2.6,,143000,6,Automatic,Rear,4-5,Right-hand drive,White,8
13477,45689461,9408,0,BMW,520,1994,Sedan,No,CNG,2.0,,111111,6,Manual,Rear,4-5,Left wheel,Black,1
13478,45730698,42692,730,SSANGYONG,ACTYON,2016,Jeep,Yes,Petrol,1.6,,82574,4,Automatic,Front,4-5,Left wheel,Black,4
13479,45797359,9565,893,HYUNDAI,I30,2008,Hatchback,Yes,Petrol,1.6,,72760,4,Automatic,Front,4-5,Left wheel,Black,4
13480,45732385,21363,707,HYUNDAI,SANTA FE,2011,Jeep,Yes,Diesel,2.0,,215647,4,Automatic,Front,4-5,Left wheel,White,4
13481,45801684,19121,531,HYUNDAI,ELANTRA,2012,Sedan,Yes,Petrol,1.6,,121362,4,Automatic,Front,4-5,Left wheel,Black,4
13482,45793051,7213,876,CHEVROLET,CRUZE,2009,Sedan,Yes,Petrol,1.8,,133457,4,Automatic,Front,4-5,Left wheel,White,4
13483,45769929,549,639,SUBARU,FORESTER,2014,Jeep,Yes,Petrol,2.0,,72613,4,Automatic,Front-Rear,4-5,Left wheel,White,0
13484,45653648,2038,1172,MERCEDES-BENZ,ML 350,2011,Jeep,Yes,Diesel,3.5,,186542,6,Automatic,Front-Rear,4-5,Left wheel,White,12
13485,45758423,862,707,AUDI,A4,2011,Sedan,Yes,Petrol,2.0,,175194,4,Automatic,Front,4-5,Left wheel,Black,12
13486,45801566,16618,531,HYUNDAI,ELANTRA,2012,Sedan,Yes,Petrol,1.6,,115471,4,Automatic,Front,4-5,Left wheel,Grey,4
13487,45635130,3763,640,FORD,FUSION,2013,Sedan,Yes,Hybrid,2.0,,320554,4,Automatic,Front,4-5,Left wheel,White,0
13488,45660665,706,751,HYUNDAI,SONATA,2013,Sedan,Yes,Hybrid,2.4,,0,4,Automatic,Front,4-5,Left wheel,White,0
13489,45758429,1254,1058,FORD,EDGE,2012,Jeep,Yes,Petrol,3.5,,115485,6,Automatic,Front,4-5,Left wheel,Blue,12
13490,45789007,10663,0,VOLKSWAGEN,CADDY,2004,Goods wagon,No,Diesel,2.0,,195000,4,Manual,Front,4-5,Left wheel,Grey,2
13491,45797869,18531,687,HYUNDAI,ELANTRA,2010,Sedan,Yes,Petrol,1.6,,111280,4,Automatic,Front,4-5,Left wheel,White,4
13492,45805497,5018,0,OPEL,CORSA,2001,Hatchback,No,Petrol,1.4,,0,4,Automatic,Front,4-5,Right-hand drive,Silver,2
13493,44943782,10349,831,HYUNDAI,SONATA,2011,Sedan,No,Hybrid,2.4,,167000,4,Tiptronic,Front,4-5,Left wheel,Carnelian red,12
13494,45646974,549,531,MINI,COOPER,2012,Hatchback,Yes,Petrol,1.6,,104448,4,Automatic,Front,4-5,Left wheel,Brown,12
13495,45793162,7840,462,CHEVROLET,MATIZ,2010,Sedan,Yes,Petrol,1.0,,39498,4,Automatic,Front,4-5,Left wheel,Black,4
