Unnamed: 0,ID,Price,Levy,MakeModel,Prod_year,Category,Leather_interior,Fuel_type,Mileage,Engine_volume,Cylinders,Gear_box_type,Drive_wheels,Doors,Wheel,Color,Airbags
11219,20746880,157,0,0.04677189272647937,1939,Limousine,Yes,Petrol,126000,2.4,4,Automatic,Rear,4-5,Left wheel,White,0
13225,23242980,200,0,0.14130691773235324,2017,Jeep,Yes,Petrol,95000,2.7,4,Automatic,Front-Rear,5,Left wheel,Black,10
13572,24367759,85702,0,0.2994226831806129,2013,Microbus,Yes,Diesel,225000,3.861956098450231,6,Manual,Rear,2-3,Left wheel,White,4
3643,24701923,130,0,0.05886698217702145,2006,Jeep,Yes,Petrol,90000,4.4,8,Tiptronic,Front-Rear,4-5,Left wheel,Black,8
5509,24940334,25089,0,0.05714966602893297,1999,Limousine,Yes,Petrol,99000,5.4,8,Automatic,Front-Rear,4-5,Left wheel,White,4
19061,25368573,12544,0,0.029405598630550797,2002,Sedan,Yes,CNG,220000,2.5,6,Tiptronic,Rear,4-5,Left wheel,Silver,8
11424,26248496,150,0,0.08165528815493572,2012,Microbus,Yes,Diesel,200000,5.617390688654881,6,Manual,Rear,4-5,Left wheel,Silver,2
15852,26327387,87021,0,0.2994226831806129,2013,Microbus,Yes,Diesel,240000,3.861956098450231,8,Manual,Rear,4-5,Left wheel,White,2
14964,26465408,43000,0,0.04160668613432685,2011,Jeep,Yes,Diesel,190000,3.0,6,Tiptronic,Front-Rear,4-5,Left wheel,Grey,12
10265,26556126,157,0,0.0004850132581478871,1939,Cabriolet,Yes,Petrol,129000,5.0,8,Automatic,Rear,4-5,Left wheel,Silver,0
14154,26556811,60,0,0.03832947336622697,2012,Hatchback,Yes,Hybrid,100000,1.8,4,Automatic,Front,4-5,Left wheel,Silver,12
2493,28135943,3136,0,0.019542040076528044,1998,Sedan,Yes,Petrol,299689,2.8,6,Tiptronic,Front,4-5,Left wheel,Silver,6
4469,28548396,5000,0,0.027765750344040545,2004,Universal,No,Diesel,312000,3.861956098450231,4,Automatic,Front,4-5,Left wheel,Black,4
9500,29267633,120,0,0.0397999530090961,2003,Sedan,Yes,Petrol,130000,3.2,6,Tiptronic,Rear,4-5,Left wheel,Black,8
14931,30551412,370,0,0.17419024603094688,2018,Jeep,Yes,Petrol,15000,4.0,8,Automatic,Front-Rear,4-5,Left wheel,Black,12
8054,30601481,150,0,0.0003893532037726983,2010,Sedan,Yes,Petrol,15000,5.5,8,Tiptronic,Front-Rear,4-5,Left wheel,Black,12
9885,31756996,18660,382,0.05250078877588695,2014,Sedan,Yes,Hybrid,114000,2.4,4,Automatic,Front,4-5,Left wheel,Blue,10
12333,31881664,3700,0,0.09279696573020509,2001,Sedan,Yes,Diesel,0,2.2,4,Automatic,Rear,4-5,Right-hand drive,Blue,4
11158,32089280,50,0,0.056752055852045784,2012,Sedan,No,Hybrid,150000,1.5,2,Automatic,Rear,4-5,Right-hand drive,Blue,0
253,32116317,50,0,0.056752055852045784,2013,Sedan,No,Hybrid,130000,1.5,4,Automatic,Rear,4-5,Right-hand drive,Sky blue,0
6607,32171534,119172,0,0.399885879233377,1943,Sedan,Yes,Petrol,69000,2.2,4,Automatic,Rear,4-5,Left wheel,White,0
1302,32180895,150,0,0.03355821837344343,2000,Limousine,Yes,Petrol,100000,8.07499911494139,8,Automatic,Rear,4-5,Left wheel,White,8
16360,32495123,16621,0,0.05254509448528178,2012,Hatchback,No,Hybrid,172000,1.5,4,Automatic,Front,4-5,Left wheel,Orange,10
718,32558066,11133,382,0.05250078877588695,2014,Sedan,Yes,Hybrid,88000,2.4,4,Automatic,Front,4-5,Left wheel,White,10
7379,32608049,50,0,0.056752055852045784,2013,Hatchback,No,Hybrid,150000,1.5,6,Automatic,Rear,4-5,Right-hand drive,White,0
7156,33606010,80,0,0.02584456080287316,2001,Jeep,No,Petrol,140000,2.0,4,Automatic,Front-Rear,4-5,Left wheel,White,0
5243,33919101,100,0,0.00022152854697412143,2013,Jeep,Yes,Petrol,100000,2.0,10,Tiptronic,Front-Rear,4-5,Left wheel,Silver,12
13138,34286300,50,0,0.021415600980095997,2009,Hatchback,No,Hybrid,141000,1.3,6,Automatic,Rear,4-5,Left wheel,Grey,6
8995,34417507,60,0,0.034751048904104985,2007,Jeep,No,Petrol,83000,2.7,6,Automatic,Rear,4-5,Left wheel,Silver,12
11151,35108811,10976,1267,0.056752055852045784,2013,Hatchback,Yes,Hybrid,80000,1.5,4,Automatic,Front,4-5,Right-hand drive,Blue,4
7269,35464629,7840,1111,0.0371058973584399,2012,Hatchback,No,Petrol,108000,1.3,4,Automatic,Front,4-5,Right-hand drive,Blue,6
5754,35464629,7840,1111,0.0371058973584399,2012,Hatchback,No,Petrol,108000,1.3,4,Automatic,Front,4-5,Right-hand drive,Blue,6
1361,35818882,20698,1055,0.03382885241499681,2013,Coupe,Yes,Petrol,66500,3.5,6,Automatic,Rear,2-3,Left wheel,Carnelian red,12
3782,36431698,26343,0,0.07354133521296949,2004,Minivan,Yes,Diesel,250000,3.861956098450231,4,Manual,Rear,4-5,Left wheel,Black,4
4143,36557799,23204,0,0.08165528815493572,2007,Microbus,No,Diesel,296000,3.861956098450231,4,Manual,Rear,4-5,Left wheel,Black,2
6732,36559154,19726,0,0.0660960628335515,2002,Goods wagon,No,Diesel,280000,3.861956098450231,4,Manual,Rear,2-3,Left wheel,White,2
1107,36559154,19726,0,0.0660960628335515,2002,Goods wagon,No,Diesel,280000,3.861956098450231,4,Manual,Rear,2-3,Left wheel,White,2
3189,36684373,90,0,0.035855435840633706,2011,Sedan,Yes,Hybrid,85000,2.5,4,Automatic,Front,4-5,Left wheel,White,8
2737,36766094,13485,0,0.045148189171953144,2014,Coupe,Yes,Petrol,9000,1.0,3,Automatic,Rear,2-3,Left wheel,Silver,4
11251,36853378,100,0,0.05886698217702145,2004,Jeep,Yes,Diesel,77000,5.26630377061395,6,Tiptronic,Front-Rear,4-5,Left wheel,Black,12
12826,36866733,18817,0,0.06304501057295338,2007,Minivan,No,Diesel,22004,3.861956098450231,4,Manual,Rear,2-3,Left wheel,White,2
15566,36894968,50,0,0.056752055852045784,2013,Hatchback,No,Hybrid,120000,1.3,4,Automatic,Front,4-5,Right-hand drive,White,8
16452,36987589,9408,1268,0.056752055852045784,2012,Hatchback,No,Petrol,111000,1.5,4,Automatic,Front,4-5,Right-hand drive,Black,6
3848,37007036,21953,0,0.03832947336622697,2012,Sedan,No,Petrol,123200,1.8,4,Automatic,Front,4-5,Left wheel,Beige,6
315,37082532,100,0,0.045924143255127045,2007,Cabriolet,Yes,Petrol,1123,3.0,6,Tiptronic,Front-Rear,2-3,Left wheel,Black,12
9015,37343036,90,0,0.021088846373309166,2002,Minivan,No,Petrol,85000,3.4,6,Automatic,Front-Rear,4-5,Right-hand drive,White,4
8026,37343138,90,0,0.049998321753432017,2005,Minivan,No,Petrol,85000,3.0,6,Automatic,Front-Rear,4-5,Right-hand drive,Silver,4
1129,37374797,16621,0,0.12978014969959387,2004,Sedan,Yes,Petrol,211288,3.5,6,Tiptronic,Rear,4-5,Left wheel,Black,6
6895,37526422,35124,0,0.14771983351794046,2007,Sedan,Yes,Petrol,225000,5.5,8,Tiptronic,Rear,4-5,Left wheel,Black,12
