Unnamed: 0,ID,Price,Levy,Manufacturer,Model,Prod_year,Category,Leather_interior,Fuel_type,Engine_volume,Turbo,Mileage,Cylinders,Gear_box_type,Drive_wheels,Doors,Wheel,Color,Airbags
16352,45767000,3136,473,CHEVROLET,CRUZE,2014,Sedan,Yes,Petrol,1.4,,156992,4,Automatic,Front,4-5,Left wheel,Black,12
16353,45776804,15681,1391,MERCEDES-BENZ,CLS 550,2012,Sedan,Yes,Petrol,4.7,Turbo,152000,8,Automatic,Front-Rear,4-5,Left wheel,Black,12
16354,45771232,314,1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,,132630,6,Automatic,Rear,4-5,Left wheel,Silver,12
16355,45730552,21739,707,SSANGYONG,REXTON,2011,Jeep,Yes,Diesel,2.0,,183590,4,Automatic,Front,4-5,Left wheel,Black,4
16356,45816301,784,1018,BMW,X5,2011,Jeep,Yes,Petrol,3.0,,277421,6,Automatic,Front-Rear,4-5,Left wheel,Black,12
16357,45342344,27598,0,TOYOTA,CAMRY,2012,Sedan,Yes,Petrol,2.5,,64000,4,Tiptronic,Front,4-5,Left wheel,Grey,12
16358,45792671,18245,642,MITSUBISHI,OUTLANDER,2012,Jeep,Yes,Petrol,2.0,,97000,4,Tiptronic,Front-Rear,4-5,Left wheel,Blue,8
16359,45784953,18817,0,TOYOTA,PRIUS,2013,Sedan,No,Hybrid,1.8,,104000,4,Automatic,Front,4-5,Left wheel,Black,8
16360,32495123,16621,0,TOYOTA,PRIUS C,2012,Hatchback,No,Hybrid,1.5,,172000,4,Automatic,Front,4-5,Left wheel,Orange,10
16361,45386036,11200,911,KIA,CARNIVAL,2010,Minivan,Yes,Diesel,2.2,,125000,4,Automatic,Front,4-5,Left wheel,Silver,4
16362,45636812,19444,765,SUBARU,XV,2015,Sedan,Yes,Petrol,2.0,,250005,4,Automatic,Front-Rear,4-5,Left wheel,Black,0
16363,45760014,10976,645,TOYOTA,PRIUS,2011,Sedan,No,Hybrid,1.8,,218560,4,Variator,Front,4-5,Left wheel,Red,6
16364,45043371,52373,579,TOYOTA,RAV 4,2017,Jeep,No,Hybrid,2.5,,2000,4,Tiptronic,Front-Rear,4-5,Left wheel,Grey,12
16365,45240407,25,0,TOYOTA,PRIUS,2011,Hatchback,Yes,Hybrid,1.8,,11111,4,Automatic,Front,4-5,Left wheel,White,12
16366,45802281,8311,0,VOLKSWAGEN,PASSAT,2006,Sedan,Yes,Petrol,2.0,Turbo,0,8,Automatic,Front,4-5,Left wheel,Silver,8
16367,45798347,14740,0,DODGE,CALIBER,2011,Hatchback,Yes,Petrol,2.0,,110000,4,Automatic,Front-Rear,4-5,Left wheel,Black,6
16368,45350469,10976,586,HYUNDAI,ELANTRA,2012,Sedan,No,Petrol,1.8,,213600,4,Tiptronic,Front,4-5,Left wheel,Blue,6
16369,45778526,16308,0,TOYOTA,AQUA,2014,Hatchback,No,Hybrid,1.5,,123456,4,Automatic,Front,4-5,Right-hand drive,White,8
16370,45777671,23521,474,CHEVROLET,VOLT,2013,Hatchback,Yes,Hybrid,1.4,,126400,4,Automatic,Front,4-5,Left wheel,Black,6
16371,45807426,6586,1363,MERCEDES-BENZ,S 550,2012,Sedan,Yes,Petrol,4.6,,156043,8,Automatic,Front-Rear,4-5,Left wheel,Black,12
16372,45812882,23521,528,NISSAN,JUKE,2014,Jeep,No,Petrol,1.6,Turbo,113600,4,Tiptronic,Front-Rear,4-5,Left wheel,White,7
16373,45731897,15053,562,FIAT,500 SPORT PANORAMA,2015,Coupe,Yes,Petrol,1.4,,70000,4,Automatic,Front,2-3,Left wheel,Grey,12
16374,45793779,7056,1090,CHEVROLET,CAPTIVA,2008,Jeep,Yes,Diesel,2.0,,68348,4,Automatic,Front,4-5,Left wheel,Silver,4
16375,45454953,25,0,HONDA,INSIGHT,2011,Hatchback,No,Hybrid,1.3,,160000,4,Automatic,Front,4-5,Left wheel,White,4
16376,45792383,19130,764,KIA,OPTIMA,2015,Sedan,Yes,Petrol,2.0,,55073,4,Automatic,Front,4-5,Left wheel,White,4
16377,45787451,8467,0,SKODA,FABIA,2008,Hatchback,No,Petrol,1.2,,1200,4,Manual,Front,4-5,Left wheel,Grey,4
16378,45649783,941,1356,LEXUS,GX 460,2014,Jeep,Yes,Petrol,4.6,,200402,8,Automatic,Front-Rear,4-5,Left wheel,Silver,0
16379,45801405,10923,583,HYUNDAI,ACCENT,2011,Hatchback,Yes,Diesel,1.6,,32800,4,Automatic,Front,4-5,Left wheel,Black,4
16380,45727381,21062,640,SSANGYONG,KORANDO,2013,Jeep,Yes,Diesel,2.0,,116918,4,Automatic,Front,4-5,Left wheel,White,4
16381,45804789,19547,640,HYUNDAI,TUCSON,2013,Jeep,Yes,Diesel,2.0,,199848,4,Automatic,Front,4-5,Left wheel,Black,4
16382,45770172,17092,0,HONDA,FIT,2014,Hatchback,Yes,Hybrid,1.5,,119000,4,Automatic,Front,4-5,Right-hand drive,Silver,8
16383,45788778,15681,753,HYUNDAI,SONATA,2012,Sedan,Yes,Petrol,2.4,,147200,4,Tiptronic,Front,4-5,Left wheel,Black,8
16384,45799420,9408,0,MERCEDES-BENZ,C 180,1997,Universal,No,CNG,1.8,,196090,4,Variator,Rear,4-5,Left wheel,Black,2
16385,45802115,21395,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,,166144,4,Automatic,Front,4-5,Left wheel,Silver,4
16386,45802117,16766,1024,HYUNDAI,H1,2010,Universal,Yes,Diesel,2.5,,213696,4,Automatic,Front,4-5,Left wheel,Grey,4
16387,45767403,29793,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,,219030,6,Automatic,Front-Rear,4-5,Left wheel,Black,12
16388,45306131,12544,0,MERCEDES-BENZ,B 170 EDITION ONE,2007,Hatchback,Yes,Petrol,1.7,,221700,4,Tiptronic,Front,4-5,Left wheel,White,12
16389,45794640,20071,502,TOYOTA,PRIUS,2013,Sedan,No,Hybrid,1.5,,77000,4,Variator,Front,4-5,Left wheel,Black,10
16390,45621377,13485,779,VOLKSWAGEN,JETTA,2013,Sedan,Yes,Petrol,2.5,,110000,4,Tiptronic,Front,4-5,Left wheel,Golden,6
16391,45786418,18189,777,NISSAN,ROGUE,2014,Jeep,No,Petrol,2.5,,136000,4,Tiptronic,Front,4-5,Left wheel,Grey,6
16392,45789097,13172,0,HONDA,FIT,2011,Hatchback,No,Hybrid,1.3,,165000,4,Variator,Front,4-5,Right-hand drive,Blue,4
16393,45773227,17876,0,HYUNDAI,ELANTRA,2011,Sedan,No,Petrol,1.8,,62000,4,Automatic,Front,4-5,Left wheel,Grey,10
16394,45784727,19757,0,VOLKSWAGEN,TOUAREG,2003,Jeep,Yes,Diesel,5.0,Turbo,170000,10,Automatic,Rear,4-5,Left wheel,Grey,6
16395,45649658,13328,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,,186005,6,Automatic,Front-Rear,4-5,Left wheel,Silver,12
16396,45797524,40688,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,,97640,4,Automatic,Front,4-5,Left wheel,Silver,4
16397,45041479,47042,0,MERCEDES-BENZ,S 550,2007,Sedan,Yes,Petrol,5.5,,185000,8,Tiptronic,Front-Rear,4-5,Left wheel,Black,8
16398,45292942,26971,382,FORD,FUSION HYBRID,2015,Sedan,Yes,Hybrid,2.0,,81000,4,Variator,Front,4-5,Left wheel,Grey,4
16399,45792416,20385,1185,VOLKSWAGEN,CRAFTER 2.5TDI,2009,Microbus,No,Diesel,2.5,,240000,4,Manual,Rear,4-5,Left wheel,White,2
16400,45726865,3136,781,TOYOTA,CAMRY,2012,Sedan,Yes,Petrol,2.5,,277906,4,Automatic,Front,4-5,Left wheel,Grey,12
16401,45801563,11704,687,HYUNDAI,ELANTRA,2010,Sedan,Yes,Petrol,1.6,,180093,4,Automatic,Front,4-5,Left wheel,Black,4
16402,45809202,39085,833,CHEVROLET,CAPTIVA,2015,Jeep,Yes,Diesel,2.2,,95303,4,Automatic,Front,4-5,Left wheel,Brown,4
16403,45801696,9408,0,BMW,320 GRAN TURISMO,2001,Sedan,No,Petrol,2.2,,111111,6,Manual,Rear,4-5,Left wheel,Silver,6
16404,45651671,706,751,HYUNDAI,SONATA,2013,Sedan,Yes,Hybrid,2.4,,0,4,Automatic,Front,4-5,Left wheel,White,0
16405,45505041,9722,1267,TOYOTA,AQUA,2013,Hatchback,No,Hybrid,1.5,,146000,4,Automatic,Front,4-5,Right-hand drive,Blue,4
16406,43886580,5500,0,OPEL,ASTRA,2007,Goods wagon,No,Diesel,1.9,,1000,4,Manual,Front,4-5,Left wheel,Silver,6
