Unnamed: 0,ID,Price,Levy,MakeModel,Prod_year,Category,Leather_interior,Fuel_type,Engine_volume,Turbo,Mileage,Cylinders,Gear_box_type,Drive_wheels,Doors,Wheel,Color,Airbags
16352,45767000,3136,473,0.03935380794146276,2014,Sedan,Yes,Petrol,1.4,,156992,4,Automatic,Front,4-5,Left wheel,Black,12
16353,45776804,15681,1391,0.14962266304165409,2012,Sedan,Yes,Petrol,4.7,Turbo,152000,8,Automatic,Front-Rear,4-5,Left wheel,Black,12
16354,45771232,314,1172,0.03382885241499681,2011,Sedan,Yes,Diesel,3.5,,132630,6,Automatic,Rear,4-5,Left wheel,Silver,12
16355,45730552,21739,707,0.10878343906286711,2011,Jeep,Yes,Diesel,2.0,,183590,4,Automatic,Front,4-5,Left wheel,Black,4
16356,45816301,784,1018,0.05886698217702145,2011,Jeep,Yes,Petrol,3.0,,277421,6,Automatic,Front-Rear,4-5,Left wheel,Black,12
16357,45342344,27598,0,0.04214745074346323,2012,Sedan,Yes,Petrol,2.5,,64000,4,Tiptronic,Front,4-5,Left wheel,Grey,12
16358,45792671,18245,642,0.0636536434732991,2012,Jeep,Yes,Petrol,2.0,,97000,4,Tiptronic,Front-Rear,4-5,Left wheel,Blue,8
16359,45784953,18817,0,0.03832947336622697,2013,Sedan,No,Hybrid,1.8,,104000,4,Automatic,Front,4-5,Left wheel,Black,8
16360,32495123,16621,0,0.05254509448528178,2012,Hatchback,No,Hybrid,1.5,,172000,4,Automatic,Front,4-5,Left wheel,Orange,10
16361,45386036,11200,911,0.034520692780183264,2010,Minivan,Yes,Diesel,2.2,,125000,4,Automatic,Front,4-5,Left wheel,Silver,4
16362,45636812,19444,765,0.030902493874400028,2015,Sedan,Yes,Petrol,2.0,,250005,4,Automatic,Front-Rear,4-5,Left wheel,Black,0
16363,45760014,10976,645,0.03832947336622697,2011,Sedan,No,Hybrid,1.8,,218560,4,Variator,Front,4-5,Left wheel,Red,6
16364,45043371,52373,579,0.07789447185580504,2017,Jeep,No,Hybrid,2.5,,2000,4,Tiptronic,Front-Rear,4-5,Left wheel,Grey,12
16365,45240407,25,0,0.03832947336622697,2011,Hatchback,Yes,Hybrid,1.8,,11111,4,Automatic,Front,4-5,Left wheel,White,12
16366,45802281,8311,0,0.04761695700332293,2006,Sedan,Yes,Petrol,2.0,Turbo,0,8,Automatic,Front,4-5,Left wheel,Silver,8
16367,45798347,14740,0,0.03549229684825294,2011,Hatchback,Yes,Petrol,2.0,,110000,4,Automatic,Front-Rear,4-5,Left wheel,Black,6
16368,45350469,10976,586,0.053920484677608835,2012,Sedan,No,Petrol,1.8,,213600,4,Tiptronic,Front,4-5,Left wheel,Blue,6
16369,45778526,16308,0,0.056752055852045784,2014,Hatchback,No,Hybrid,1.5,,123456,4,Automatic,Front,4-5,Right-hand drive,White,8
16370,45777671,23521,474,0.032600510186956665,2013,Hatchback,Yes,Hybrid,1.4,,126400,4,Automatic,Front,4-5,Left wheel,Black,6
16371,45807426,6586,1363,0.14771983351794046,2012,Sedan,Yes,Petrol,4.6,,156043,8,Automatic,Front-Rear,4-5,Left wheel,Black,12
16372,45812882,23521,528,0.03697257745107911,2014,Jeep,No,Petrol,1.6,Turbo,113600,4,Tiptronic,Front-Rear,4-5,Left wheel,White,7
16373,45731897,15053,562,0.05041117040915651,2015,Coupe,Yes,Petrol,1.4,,70000,4,Automatic,Front,2-3,Left wheel,Grey,12
16374,45793779,7056,1090,0.05947266136340751,2008,Jeep,Yes,Diesel,2.0,,68348,4,Automatic,Front,4-5,Left wheel,Silver,4
16375,45454953,25,0,0.021415600980095997,2011,Hatchback,No,Hybrid,1.3,,160000,4,Automatic,Front,4-5,Left wheel,White,4
16376,45792383,19130,764,0.05250078877588695,2015,Sedan,Yes,Petrol,2.0,,55073,4,Automatic,Front,4-5,Left wheel,White,4
16377,45787451,8467,0,0.03129342462994663,2008,Hatchback,No,Petrol,1.2,,1200,4,Manual,Front,4-5,Left wheel,Grey,4
16378,45649783,941,1356,0.08998298257980063,2014,Jeep,Yes,Petrol,4.6,,200402,8,Automatic,Front-Rear,4-5,Left wheel,Silver,0
16379,45801405,10923,583,0.03886211526197429,2011,Hatchback,Yes,Diesel,1.6,,32800,4,Automatic,Front,4-5,Left wheel,Black,4
16380,45727381,21062,640,0.07535786929815728,2013,Jeep,Yes,Diesel,2.0,,116918,4,Automatic,Front,4-5,Left wheel,White,4
16381,45804789,19547,640,0.10083888832947337,2013,Jeep,Yes,Diesel,2.0,,199848,4,Automatic,Front,4-5,Left wheel,Black,4
16382,45770172,17092,0,0.0371058973584399,2014,Hatchback,Yes,Hybrid,1.5,,119000,4,Automatic,Front,4-5,Right-hand drive,Silver,8
16383,45788778,15681,753,0.04842533481019032,2012,Sedan,Yes,Petrol,2.4,,147200,4,Tiptronic,Front,4-5,Left wheel,Black,8
16384,45799420,9408,0,0.02990108414728292,1997,Universal,No,CNG,1.8,,196090,4,Variator,Rear,4-5,Left wheel,Black,2
16385,45802115,21395,781,0.10062276373644816,2012,Universal,Yes,Diesel,2.5,,166144,4,Automatic,Front,4-5,Left wheel,Silver,4
