Unnamed: 0,ID,Price,Levy,MakeModel,Prod_year,Category,Leather_interior,Fuel_type,Mileage,Engine_volume,Cylinders,Gear_box_type,Drive_wheels,Doors,Wheel,Color,Airbags
7674,45807575,16465,0,0.05254509448528178,2012,Hatchback,No,Hybrid,129788,1.5,4,Variator,Front,4-5,Left wheel,Grey,0
5251,45807576,7997,0,0.04286913033262847,2004,Minivan,No,Petrol,135000,2.0,4,Tiptronic,Front,4-5,Right-hand drive,Silver,8
159,45807577,72130,1079,0.24597516195079383,2018,Jeep,Yes,Petrol,18918,3.5108691804093004,4,Tiptronic,Front,4-5,Left wheel,Black,6
4752,45807577,72130,1079,0.24597516195079383,2018,Jeep,Yes,Petrol,18918,3.5108691804093004,4,Tiptronic,Front,4-5,Left wheel,Black,6
10189,45807578,11290,0,0.04024549390796496,2001,Sedan,No,Petrol,195000,2.0,4,Manual,Front,4-5,Left wheel,Silver,6
4527,45807585,37947,1481,0.10932786224952169,2017,Jeep,Yes,Petrol,51824,3.0,6,Automatic,Front-Rear,4-5,Left wheel,White,12
15343,45807586,5018,765,0.06660400093981808,2015,Jeep,Yes,Petrol,93304,2.0,4,Automatic,Front-Rear,4-5,Left wheel,White,0
9092,45807587,12544,2188,0.04954694055650656,2007,Jeep,Yes,Petrol,246400,3.5,6,Tiptronic,Front-Rear,4-5,Left wheel,Silver,8
9437,45807588,10976,0,0.02410052696942235,2009,Hatchback,No,Petrol,106000,1.5,4,Variator,Front,4-5,Right-hand drive,White,2
3686,45807591,49550,0,0.16620011412076663,2009,Hatchback,Yes,Petrol,167000,7.723912196900462,6,Tiptronic,Rear,5,Left wheel,Black,9
454,45807594,188,765,0.06660400093981808,2015,Jeep,Yes,Petrol,69555,2.0,4,Automatic,Front,4-5,Left wheel,Red,12
4975,45807595,10976,0,0.04618148558386198,1998,Universal,No,Diesel,135000,2.5,6,Manual,Rear,2-3,Right-hand drive,Red,2
8338,45807597,11917,0,0.04220692780183264,2000,Sedan,Yes,CNG,210000,3.2,6,Tiptronic,Rear,4-5,Left wheel,White,10
12004,45807601,6968,0,0.023273923404826636,2003,Universal,No,Petrol,200000,2.3,4,Tiptronic,Front-Rear,4-5,Right-hand drive,Blue,6
18553,45807603,12544,0,0.03832947336622697,2008,Sedan,No,Hybrid,224000,1.5,4,Automatic,Front,4-5,Left wheel,Black,2
7508,45807605,18817,779,0.04214745074346323,2013,Sedan,Yes,Petrol,176000,2.5,6,Tiptronic,Front,4-5,Left wheel,Black,6
10350,45807612,2000,3273,0.2047917967307757,2001,Jeep,No,Petrol,0,4.0,6,Automatic,Front-Rear,4-5,Left wheel,Red,2
18204,45807615,5959,0,0.04761695700332293,1999,Sedan,Yes,CNG,251000,3.1597822623683705,4,Manual,Front,4-5,Left wheel,Black,4
2608,45807627,9408,0,0.02990108414728292,2000,Sedan,No,CNG,19000,2.0,4,Tiptronic,Rear,4-5,Left wheel,Silver,6
8760,45807628,26657,0,0.06373852918470782,2009,Sedan,Yes,Petrol,245000,2.5,6,Tiptronic,Rear,4-5,Left wheel,Grey,10
17107,45807629,3136,0,0.021792233074883365,1996,Hatchback,No,Petrol,220000,1.6,1,Manual,Front,4-5,Left wheel,Black,0
11889,45807632,11917,0,0.03832947336622697,2008,Sedan,No,Hybrid,432000,1.6,2,Automatic,Front-Rear,4-5,Left wheel,Grey,0
18550,45807635,6115,0,0.03668247574933709,2000,Sedan,No,LPG,33000,2.0,4,Manual,Front,4-5,Left wheel,Carnelian red,4
9766,45807637,13799,574,0.021415600980095997,2010,Sedan,No,Hybrid,100000,1.3,4,Tiptronic,Front,4-5,Left wheel,Silver,10
8217,45807638,20385,0,0.0636536434732991,2008,Jeep,No,Petrol,0,3.0,6,Tiptronic,Front-Rear,4-5,Left wheel,Silver,4
1034,45807639,13799,490,0.021415600980095997,2011,Sedan,No,Hybrid,144000,1.3,4,Tiptronic,Front,4-5,Left wheel,Blue,10
15723,45807643,16621,1185,0.06872587520558521,2009,Microbus,No,Diesel,335000,4.388586475511626,5,Manual,Rear,4-5,Left wheel,Beige,6
15433,45807749,73698,1104,0.24725271036820728,2015,Sedan,Yes,Petrol,43000,5.26630377061395,6,Tiptronic,Rear,4-5,Left wheel,Grey,12
8858,45807756,5500,0,0.04618148558386198,1991,Microbus,No,Diesel,11111111,2.5,4,Manual,Rear,2-3,Left wheel,White,0
7289,45807762,15500,0,0.08165528815493572,1998,Microbus,No,Diesel,0,5.090760311593486,5,Manual,Rear,2-3,Left wheel,Blue,0
10166,45807840,282,0,0.04618148558386198,2000,Microbus,No,Diesel,1000,2.3,4,Manual,Rear,4-5,Left wheel,White,0
14467,45807906,45473,0,0.10083888832947337,2017,Jeep,No,Petrol,11000,2.8086953443274405,4,Tiptronic,Front-Rear,4-5,Right-hand drive,Black,12
5110,45807910,11917,586,0.03832947336622697,2012,Hatchback,No,Hybrid,180000,1.8,4,Automatic,Front,4-5,Left wheel,White,10
19197,45807914,13799,586,0.03832947336622697,2012,Hatchback,Yes,Hybrid,260000,1.8,4,Automatic,Front,4-5,Left wheel,Black,12
18576,45807921,15367,0,0.053920484677608835,2010,Sedan,No,Petrol,230400,1.8,4,Tiptronic,Front,4-5,Left wheel,Purple,4
2425,45807938,10663,503,0.05254509448528178,2012,Hatchback,Yes,Hybrid,130000,1.5,4,Automatic,Front,4-5,Left wheel,Sky blue,12
11713,45807976,21950,862,0.07356090356795221,2011,Minivan,Yes,Diesel,72000,4.388586475511626,4,Tiptronic,Rear,4-5,Left wheel,White,2
12920,45807987,11917,640,0.02749374014030141,2013,Jeep,Yes,Petrol,151000,2.0,4,Automatic,Front-Rear,4-5,Left wheel,Silver,12
15165,45808029,10036,0,0.029790487698452654,2005,Hatchback,No,Petrol,170000,1.5,4,Automatic,Front,4-5,Right-hand drive,White,4
12443,45808065,18817,0,0.04842533481019032,2012,Sedan,No,Hybrid,150000,2.4,8,Automatic,Front,4-5,Left wheel,Black,12
15407,45808066,17249,1759,0.058834289933877085,2006,Microbus,No,Diesel,190000,2.4,5,Manual,Rear,2-3,Left wheel,White,5
18671,45808076,67426,891,0.09050112442520054,2016,Jeep,Yes,Petrol,68549,2.0,4,Automatic,Front,4-5,Left wheel,White,0
3031,45808090,2352,0,0.021792233074883365,1991,Sedan,No,CNG,234000,1.8,4,Manual,Front,4-5,Left wheel,White,0
1689,45808092,3136,3301,0.09142352230389689,1992,Jeep,Yes,Petrol,4512,4.0,8,Manual,Front-Rear,4-5,Left wheel,Black,11
4514,45808103,14113,0,0.021415600980095997,2010,Hatchback,No,Hybrid,203200,1.3,4,Variator,Front,4-5,Left wheel,Black,6
14106,45808156,2200,0,0.011822273688450307,1997,Sedan,No,Diesel,0,3.3353257213888354,4,Manual,Front,4-5,Left wheel,Green,2
16824,45808177,10976,0,0.03672674789380056,2005,Coupe,Yes,Petrol,55000,1.8,4,Manual,Rear,4-5,Left wheel,Red,4
4201,45808178,7370,0,0.024623233645487196,1995,Jeep,No,CNG,239000,2.4,4,Manual,Front-Rear,4-5,Left wheel,Carnelian red,2
18211,45808180,28852,0,0.03523824388279126,2008,Jeep,No,Hybrid,249600,3.3,6,Variator,Front-Rear,4-5,Left wheel,Silver,12
3879,45808181,9722,0,0.037755445910113115,2003,Sedan,No,CNG,20000,2.4,6,Tiptronic,Rear,4-5,Right-hand drive,White,4
15000,45808183,35000,0,0.08165528815493572,2008,Microbus,Yes,Diesel,250000,3.861956098450231,4,Manual,Rear,5,Left wheel,White,2
6578,45808194,2600,0,0.008612761386902965,1997,Hatchback,No,Petrol,3568,1.6,4,Manual,Front,4-5,Left wheel,Red,2
10108,45808214,42000,0,0.08165528815493572,2010,Microbus,Yes,Diesel,300000,4.739673393552556,4,Manual,Rear,5,Left wheel,White,2
3198,45808240,24148,0,0.03697257745107911,2014,Jeep,No,Petrol,56000,2.8086953443274405,4,Tiptronic,Front,4-5,Left wheel,Carnelian red,6
6327,45808241,73698,517,0.03523824388279126,2014,Jeep,Yes,Hybrid,100000,3.5,6,Tiptronic,Front-Rear,4-5,Left wheel,White,12
9035,45808245,21953,0,0.0580663243043668,2013,Hatchback,Yes,Plug-in Hybrid,133000,2.0,4,Automatic,Front,4-5,Left wheel,Silver,10
2730,45808247,600,0,0.07217420199375693,2003,Jeep,No,Petrol,230000,4.7,8,Automatic,Front-Rear,4-5,Left wheel,Beige,0
15248,45808257,1490,779,0.06163384016379687,2013,Sedan,Yes,Petrol,164502,2.5,4,Automatic,Front,4-5,Left wheel,Blue,12
4004,45808261,4600,0,0.015325747658846037,2000,Sedan,Yes,Petrol,444800,2.0,4,Automatic,Front,4-5,Left wheel,White,2
5842,45808278,1098,1091,0.012036988554358407,2016,Jeep,Yes,Petrol,0,2.5,4,Automatic,Front-Rear,4-5,Left wheel,Blue,12
15225,45808282,2352,586,0.053920484677608835,2012,Sedan,Yes,Petrol,0,1.8,4,Automatic,Front,4-5,Left wheel,Black,12
800,45808286,8311,986,0.045719799953009094,2010,Jeep,Yes,Petrol,106312,2.4,4,Automatic,Front-Rear,4-5,Left wheel,Silver,12
15510,45808290,5488,1080,0.04628882623435035,2014,Sedan,Yes,Petrol,133904,3.6,6,Automatic,Rear,4-5,Left wheel,Silver,12
18763,45808297,12858,1228,0.12760309468667136,2018,Sedan,Yes,Petrol,26642,2.3,4,Automatic,Rear,4-5,Left wheel,Red,12
5764,45808302,2195,900,0.04725438861477528,2015,Jeep,Yes,Petrol,113821,2.4,4,Automatic,Front,4-5,Left wheel,White,12
3239,45808307,1960,753,0.019020776692511662,2012,Jeep,Yes,Petrol,212682,2.4,4,Automatic,Front,4-5,Left wheel,Red,12
13086,45808317,1333,934,0.06163384016379687,2015,Sedan,Yes,Petrol,96242,2.5,4,Automatic,Front,4-5,Left wheel,White,12
17465,45808325,2430,753,0.019020776692511662,2012,Jeep,Yes,Petrol,204048,2.4,4,Automatic,Front,4-5,Left wheel,Silver,12
9192,45808344,2700,0,0.017014063706239722,1990,Pickup,No,Petrol,500000,2.0,4,Manual,Front-Rear,4-5,Left wheel,Black,0
2605,45808350,2430,753,0.019020776692511662,2012,Jeep,Yes,Petrol,204048,2.4,4,Automatic,Front,4-5,Left wheel,Silver,12
10820,45808368,13485,0,0.023148256301815863,2006,Sedan,No,Petrol,237000,2.0,4,Manual,Rear,4-5,Left wheel,Blue,6
18397,45808403,4861,830,0.01968892021615816,2019,Sedan,Yes,Petrol,27656,1.5,4,Automatic,Front,4-5,Left wheel,White,12
14140,45808404,1019,1203,0.10922558990366865,2011,Coupe,Yes,Petrol,166318,3.6,6,Automatic,Rear,2-3,Left wheel,Grey,12
12798,45808405,3293,1017,0.053920484677608835,2017,Sedan,Yes,Petrol,137997,2.0,4,Automatic,Front,4-5,Left wheel,Blue,12
2145,45808405,3293,1017,0.053920484677608835,2017,Sedan,Yes,Petrol,137997,2.0,4,Automatic,Front,4-5,Left wheel,Blue,12
12675,45808406,2822,562,0.013920853891853789,2015,Jeep,Yes,Petrol,107358,1.4,4,Automatic,Front,4-5,Left wheel,Black,12
17008,45808407,157,1273,0.055940086597522906,2015,Jeep,Yes,Petrol,290235,3.5,6,Automatic,Front-Rear,4-5,Left wheel,White,12
6437,45808410,5331,765,0.01777934414124123,2015,Sedan,Yes,Petrol,70395,2.0,4,Automatic,Front,4-5,Left wheel,White,12
6892,45808414,9095,1661,0.05073899909374685,2013,Coupe,Yes,Petrol,78000,3.5108691804093004,4,Tiptronic,Rear,2-3,Right-hand drive,Black,8
5352,45808430,6272,0,0.0371058973584399,2002,Hatchback,No,Petrol,161000,1.3,4,Automatic,Front,4-5,Right-hand drive,Red,4
7928,45808434,3293,1080,0.02926073238680227,2014,Jeep,Yes,Petrol,97106,3.6,6,Automatic,Front-Rear,4-5,Left wheel,Silver,12
5064,45808436,2822,900,0.013920853891853789,2015,Sedan,Yes,Petrol,105403,2.4,4,Automatic,Front,4-5,Left wheel,White,12
3746,45808438,157,749,0.04842533481019032,2014,Sedan,Yes,Petrol,274981,2.4,4,Automatic,Front,4-5,Left wheel,Grey,12
18869,45808440,2509,751,0.04842533481019032,2013,Sedan,Yes,Petrol,83013,2.4,4,Automatic,Front,4-5,Left wheel,Grey,12
3787,45808442,9408,0,0.040467190279595874,2003,Jeep,No,Petrol,184000,2.0,4,Automatic,Front-Rear,4-5,Right-hand drive,Silver,2
6235,45808446,1725,1017,0.04099003121538616,2017,Sedan,Yes,Petrol,105157,2.0,4,Automatic,Front,4-5,Left wheel,White,12
4683,45808449,6429,639,0.008762695935286812,2014,Sedan,Yes,Petrol,88733,2.0,4,Automatic,Front,4-5,Left wheel,Black,12
8154,45808452,1333,761,0.03213701204981036,2010,Sedan,Yes,Petrol,116992,1.8,4,Automatic,Front,4-5,Left wheel,Silver,12
12090,45808452,1333,761,0.03213701204981036,2010,Sedan,Yes,Petrol,116992,1.8,4,Automatic,Front,4-5,Left wheel,Silver,12
16420,45808453,16308,1079,0.012987480280602827,2018,Sedan,Yes,Petrol,56288,2.0,4,Automatic,Rear,4-5,Left wheel,Silver,12
16649,45808453,16308,1079,0.012987480280602827,2018,Sedan,Yes,Petrol,56288,2.0,4,Automatic,Rear,4-5,Left wheel,Silver,12
12802,45808454,5645,810,0.021430033900580674,2016,Sedan,Yes,Petrol,52126,1.8,4,Automatic,Front,4-5,Left wheel,Grey,12
932,45808456,8938,642,0.0580663243043668,2012,Hatchback,No,Hybrid,144000,2.0,4,Automatic,Front,4-5,Left wheel,Grey,6
7949,45808456,8938,642,0.0580663243043668,2012,Hatchback,No,Hybrid,144000,2.0,4,Automatic,Front,4-5,Left wheel,Grey,6
14364,45808457,6743,1156,0.12760309468667136,2017,Sedan,Yes,Petrol,61653,2.3,4,Automatic,Rear,4-5,Left wheel,Black,12
15953,45808469,549,1694,0.0017285939650253416,2016,Hatchback,Yes,Petrol,112701,4.0,8,Automatic,Front-Rear,4-5,Left wheel,Grey,12
4349,45808471,549,1190,0.0017285939650253416,2014,Hatchback,Yes,Petrol,98446,4.0,8,Automatic,Front-Rear,4-5,Left wheel,White,12
4442,45808474,37947,1575,0.04160668613432685,2018,Jeep,Yes,Petrol,49122,3.0,6,Automatic,Front-Rear,4-5,Left wheel,Silver,12
1008,45808475,3920,749,0.02926073238680227,2014,Jeep,Yes,Petrol,179995,2.4,4,Automatic,Front-Rear,4-5,Left wheel,Blue,12
9792,45808485,3763,1172,0.0350566576041352,2011,Sedan,Yes,Petrol,204237,3.5,6,Automatic,Front,4-5,Left wheel,Silver,12
8650,45808488,2430,753,0.02926073238680227,2012,Jeep,Yes,Petrol,254838,2.4,4,Automatic,Front-Rear,4-5,Left wheel,White,12
18579,45808490,5959,1171,0.09142352230389689,2015,Jeep,Yes,Petrol,79200,3.2,6,Automatic,Front,4-5,Left wheel,Black,12
11912,45808499,862,530,0.0021221427852180044,2013,Hatchback,Yes,Petrol,0,1.6,4,Automatic,Front,4-5,Left wheel,Black,12
